Gene,AJ2,AJ3,AJ4,AN2,AN3,AN4
Spis1.t1,185,116,580,236,107,151
Spis2.t1,125,40,125,69,42,74
Spis3,147266,75603,343099,158996,96622,129167
Spis4,191583,118514,417938,192054,133344,187178
Spis5,147416,80097,353154,162460,99198,132663
Spis6,159276,83707,367147,184890,109315,146425
Spis7,177097,94065,390611,192836,118100,162286
Spis8,136381,69451,323829,150418,91530,122413
Spis9,155196,88472,348174,150199,102058,150844
Spis10,108249,58793,260360,114428,71599,99108
Spis11,141315,72266,338918,152238,92211,120185
Spis12,163389,95693,371499,164997,112210,159226
Spis13,114167,64627,276202,126882,80801,111846
Spis14,125632,62803,284486,132800,81764,105644
Spis15,139847,72663,357247,147796,90697,135302
Spis16,115327,63448,266187,130187,79086,103996
Spis17,123785,65626,299296,136340,82773,115431
Spis18,121328,64880,288423,130344,82016,116234
Spis19,96907,53342,231872,108649,65634,91049
Spis20,90179,50170,209519,103371,62997,83252
Spis21,83007,46211,198271,88403,54248,74355
Spis22,62843,37037,133450,66129,44994,55907
Spis23,47574,27206,113318,56026,33179,42101
Spis24.t1,37,39,121,63,38,65
Spis25,29866,16160,65428,30069,18994,26303
Spis26,12574,6988,36509,14455,8817,12627
Spis27,21949,12651,54790,25434,15325,21916
Spis28,13838,6641,37133,13887,8552,14384
Spis29,41428,21742,93910,52942,31150,43689
Spis30,21774,10383,46172,20181,12566,15978
Spis31.t1,32,22,59,19,18,44
Spis32,12664,6672,27330,15185,8581,10155
Spis33,13059,6348,31911,14884,8641,11312
Spis34,9826,5561,26071,12218,7377,9800
Spis35,19407,10604,45845,19541,12662,19736
Spis36,19846,10428,42824,23631,13732,15502
Spis37,14217,6587,33417,15210,9012,11530
Spis38,9073,4853,20556,9147,5816,7886
Spis39.t1,24,24,56,14,13,18
Spis40,18061,8189,42495,18416,10786,14360
Spis41,15848,9037,34720,15181,10054,14421
Spis42,12466,6562,29601,13661,8287,11062
Spis43,15373,7862,36856,15307,9423,14002
Spis44,14628,7756,35032,16305,9879,12769
Spis45,65669,52243,117985,57310,50554,74822
Spis46,18020,9842,43256,20535,12944,15942
Spis47,9969,5174,24688,10155,6383,9664
Spis48,10835,5841,27243,13573,7854,9791
Spis49,10668,5993,25931,11557,7138,10309
Spis50,18504,9286,42962,21113,12931,15110
Spis51,7311,3596,17740,7330,4361,5944
Spis52,32007,19422,73816,32980,21139,28808
Spis53,12020,6089,28792,13432,8180,11352
Spis54,13326,6760,34198,14748,8862,12444
Spis55,15240,7836,34461,18977,11017,13328
Spis56,11614,6143,28981,13601,7933,10759
Spis57,8862,4980,21712,9616,5946,7850
Spis58,14083,8088,36456,15761,9180,13023
Spis59,14341,7833,33675,14754,9561,13896
Spis60.t2,78,31,153,67,37,28
Spis61,12484,6104,30505,12843,7915,11439
Spis62,13086,6932,32091,14651,8576,11948
Spis63,31822,15304,61753,45499,22620,23684
Spis64,17925,9409,41100,19709,13040,17023
Spis65,11146,5696,26224,11289,7359,10931
Spis66,21359,12312,47992,21060,14498,22106
Spis67,16058,9376,41555,18795,11659,16869
Spis68,12320,6893,29965,13382,7968,11305
Spis69,13867,6539,30624,16710,9316,11870
Spis70,17853,8860,35701,16939,11636,16037
Spis71,16014,9521,37660,15860,11092,16376
Spis72,12453,6010,31053,12277,7339,10920
Spis73,17630,9175,41221,17648,12114,17633
Spis74,47530,26585,82016,58414,33404,40035
Spis75,16357,8152,36774,16429,10387,14792
Spis76,17494,9560,47221,21725,12106,17500
Spis77,11743,6167,30357,12931,7592,11009
Spis78,10045,4997,22849,9722,5718,8456
Spis79.t1,63,46,145,88,47,53
Spis80,17915,7899,37440,17883,10969,13302
